time [ms],value [mm]
1880,0.15876809
1885,0.15889782
1890,0.15892177
1895,0.15891350
1900,0.15885890
1905,0.15889226
1910,0.15888599
1915,0.15886902
1920,0.15891849
1925,0.15887501
1930,0.15881913
1935,0.15886902
1940,0.15891949
1945,0.15880031
1950,0.15883381
1955,0.15883852
1960,0.15892120
1965,0.15891293
1970,0.15884878
1975,0.15884522
1980,0.15884108
1985,0.15886845
1990,0.15892405
1995,0.15885662
2000,0.15883624
2005,0.15897737
2010,0.15881485
2015,0.15881813
2020,0.15887829
2025,0.15880801
2030,0.15885192
2035,0.15885263
2040,0.15884536
2045,0.15883852
2050,0.15882398
2055,0.15889896
2060,0.15881314
2065,0.15884679
2070,0.15892733
2075,0.15885291
2080,0.15887344
2085,0.15889639
2090,0.15886517
2095,0.15885135
2100,0.15892605
2105,0.15885705
2110,0.15885434
2115,0.15888599
2120,0.15882740
2125,0.15889582
2130,0.15885962
2135,0.15883723
2140,0.15890210
2145,0.15885719
2150,0.15880559
2155,0.15886190
2160,0.15884180
2165,0.15887701
2170,0.15885263
2175,0.15886375
2180,0.15892733
2185,0.15883481
2190,0.15880345
2195,0.15888000
2200,0.15885790
2205,0.15879375
2210,0.15886517
2215,0.15887629
2220,0.15884251
2225,0.15889639
2230,0.15890438
2235,0.15887672
2240,0.15887601
2245,0.15885505
2250,0.15888257
2255,0.15885363
2260,0.15880388
2265,0.15884379
2270,0.15882269
2275,0.15885291
2280,0.15887530
2285,0.15890723
2290,0.15883424
2295,0.15888499
2300,0.15885505
2305,0.15886845
2310,0.15884351
2315,0.15878321
2320,0.15890865
2325,0.15887701
2330,0.15880487
2335,0.15884536
2340,0.15888955
2345,0.15887316
2350,0.15888128
2355,0.15883980
2360,0.15890138
2365,0.15888228
2370,0.15887629
2375,0.15891906
2380,0.15891749
2385,0.15876125
2390,0.15880031
2395,0.15883723
2400,0.15890965
2405,0.15887629
2410,0.15886261
2415,0.15888328
2420,0.15884351
2425,0.15893688
2430,0.15880274
2435,0.15882754
2440,0.15886190
2445,0.15884807
2450,0.15887558
2455,0.15882668
2460,0.15888157
2465,0.15878891
2470,0.15895570
2475,0.15892434
2480,0.15883923
2485,0.15886090
2490,0.15889226
